psi_deg,delta_DM,lo,hi,yhat
0,-114.46290153846189,-297.7925090000001,96.27056607142822,130.07414319221905
1,-98.53939679144423,-307.84943867647013,82.23090779411775,127.33109412016809
2,-115.31018505494512,-336.2969133571429,54.575581428570985,124.57027302529721
3,-115.31018505494512,-320.90452757142845,57.46802778571412,121.79252088045673
4,-101.34633975044562,-311.9171424264703,95.23993580882339,118.99868381585853
5,-101.34633975044562,-299.5773122058825,81.85973419117637,116.18961286133711
6,-88.36675422794087,-275.96795046875013,94.01739187500026,113.3661636871172
7,-88.36675422794087,-301.09639203125,99.8564320312501,110.5291963431687
8,-88.36675422794087,-283.78443765624996,123.730901015625,107.67957499722682
9,-84.74786937821432,-279.44257064516177,143.98706169354801,104.81816767155857
10,-84.74786937821432,-287.6614511290329,146.2504636290319,101.94584597855433
11,-51.353998737251004,-255.61597698275872,158.81033499999953,99.06348485522653
12,-51.353998737251004,-261.5638088793105,164.84705181034485,96.17196229669554
13,-51.353998737251004,-249.36919232758584,147.38511301724134,93.27215908874336
14,-51.353998737251004,-275.1114102586209,157.94712637931022,90.36495853951828
15,-34.156507341269844,-268.97912866071437,159.17332276785686,87.45124621047017
16,-4.285025779625585,-212.30210096153837,208.18771721153811,84.53190964660034
17,-4.285025779625585,-244.80085221153848,207.33433230769148,81.60783810610624
18,-27.945677333333606,-257.6828330000001,198.43811389999982,78.6799222895054
19,-27.945677333333606,-273.17634980000014,174.20515149999986,75.74905406831881
20,-23.329572587719213,-258.3001505208335,211.4910658333334,72.81612621339855
21,-23.329572587719213,-278.93274583333346,198.58843864583332,69.88203212298127
22,-23.329572587719213,-238.12140354166664,191.98717302083307,66.94766555054998
23,-10.849732241671745,-249.2543943478263,225.42716543478207,64.01392033258863
24,-20.622698834499033,-259.6559712500003,228.34608409090922,61.0816901163103
25,-30.521450632911638,-315.28764809523875,228.07928714285688,58.15186808744417
26,-30.521450632911638,-287.1267035714287,253.88034690476147,55.22534669816189
27,-37.18345125000019,-290.1846273750001,223.21168924999927,52.30301739522866
28,-22.041557764782283,-321.90118881578974,236.6657144736839,49.38577034845929
29,-22.041557764782283,-302.31051749999995,216.31813499999998,46.47449417956418
30,-22.041557764782283,-279.1624742105266,240.8753107894735,43.570075691466684
31,-22.041557764782283,-281.74308986842095,270.07241828947315,40.67339959817386
32,-22.041557764782283,-260.1228447368421,220.44197315789447,37.7853482552846
33,-22.041557764782283,-304.9276447368423,251.49328315789435,34.90680139121499
34,-22.041557764782283,-276.8374892105266,240.0082460526314,32.03863583922508
35,-22.041557764782283,-307.0691388157897,298.84707999999995,29.181725270326403
36,-22.041557764782283,-282.7158242105266,233.5558782894732,26.336939927153892
37,-22.041557764782283,-273.0327463157896,246.1619918421052,23.505146358881085
38,-6.88414146341438,-279.71477069444427,275.762347222222,20.687207157260985
